caso,"Alessandro Dantas Coutinho e Ronald Kruger Rodor, Manual de Direito Administrativo",Antonio Cecílio Moreira Pires Direito Administrativo 2a Ed,Aragão Curso de Direito Administrativo 2a Ed,Bandeira de Mello Curso de Direito Administrativo 31a Ed,Diógenes Gasparini Direito Administrativo 17a Ed,Fernanda Marinela Direito Administrativo 11a Ed,Hely Lopes Meirelles Direito Administrativo Brasileira 42a Ed,Irene Patrícia Nohara Direito Administrativo 8a Ed,José dos Santos Carvalho Filho 28a Ed,Marcelo Alexandrino Direito Administrativo Descomplicado 25a Ed,Marcio Pestana Direito Administrativo Brasileiro 4a Ed,Maria Sylvia Zanella di Pietro 31a Ed,Marçal Justen Filho Curso de Direito Administrativo 12a Ed,Moreira Neto Curso de Direito Administrativo 16a Ed,Odete Medauar Curso de Direito Administrativo 21a Ed,Odete Medauar Odete Medauar Curso de Direito Administrativo 11a Ed,Reinaldo Couto Curso de Direito Administrativo 2a Ed,Ricardo Alexandre e João de Deus Direito Administrativo 4a Ed,citado,citacoes_total
aco 2162,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
adi 1187,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
adi 2213,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3
adi 2260,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,8
adi 2332,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,14
adi 4357,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,4
adi 4425,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,4
adi 4465,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
adi 5446,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
adi 969,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,4
adi mc 2332,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
adin 2260,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
adin 2332,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
adin 969,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
adin mc 2332,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
ag 26619,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
ai 42240,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
ai 857979,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
ere 104591,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
ere 39081,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
ms 22164,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
ms 22613,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
ms 23323,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
ms 24484,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
ms 25022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
ms 25066,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
ms 25186,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
ms 26198,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
re 104591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
re 107918,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
re 111988,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3
re 115665,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
re 117025,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
re 134297,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
re 140436,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
re 149993,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3
re 168917,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 172816,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,7
re 176108,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3
re 178215,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3
re 18711,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 191078,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
re 20767,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 21080,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 216964,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 222368,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
re 24190,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4
re 247866,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,5
re 259267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
re 30345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 315135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
re 331086,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
re 39081,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 417992,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
re 45437,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 47259,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 52113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 527971,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
re 543974,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,8
re 56937,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 57315,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 579431,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
re 590751,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
re 61417,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 635336,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,5
re 64559,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,5
re 65532,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 65559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
re 691912,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
re 73591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
re 73594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
re 74717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
re 75918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
re 76296,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
re 78501,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
re 80845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 81151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4
re 81515,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 82300,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,5
re 82366,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4
re 85869,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
re 86502,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
re 87009,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
re 87168,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
re 87559,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 88363,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
re 88699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
re 90581,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
re 90656,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
re 91508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
re 922144,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
re 99528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
re 99571,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
sumula 157,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,6
sumula 164,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,5
sumula 218,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,5
sumula 23,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,11
sumula 345,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
sumula 378,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
sumula 416,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4
sumula 476,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,7
sumula 479,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,8
sumula 561,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,8
sumula 617,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,9
sumula 618,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,14
sumula 652,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,6
sumula vinculante 17,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,9
sumula vinculante 47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
